model,release_date
stabilityai/StableBeluga2,2023-07-20 15:09:28
stabilityai/stablelm-2-12b,2024-03-21 20:05:32
stabilityai/stablelm-2-12b-chat,2024-04-04 10:31:37
stabilityai/stablelm-2-1_6b,2024-01-18 15:49:16
stabilityai/stablelm-2-1_6b-chat,2024-04-08 14:51:24
stabilityai/stablelm-2-zephyr-1_6b,2024-01-19 12:18:00
stabilityai/stablelm-3b-4e1t,2023-09-29 06:05:21
stabilityai/stablelm-zephyr-3b,2023-11-21 16:25:11
teknium/CollectiveCognition-v1.1-Mistral-7B,2023-10-04 20:29:59
teknium/OpenHermes-13B,2023-09-06 04:36:29
teknium/OpenHermes-2-Mistral-7B,2023-10-12 20:07:15
teknium/OpenHermes-2.5-Mistral-7B,2023-10-29 20:36:39
teknium/OpenHermes-7B,2023-09-14 10:22:23
TencentARC/LLaMA-Pro-8B,2024-01-05 07:12:43
TencentARC/LLaMA-Pro-8B-Instruct,2024-01-06 02:12:26
TencentARC/MetaMath-Mistral-Pro,2024-02-26 13:39:38
TencentARC/Mistral_Pro_8B_v0.1,2024-02-22 14:47:03
tiiuae/falcon-11B,2024-05-09 08:11:59
tiiuae/falcon-40b,2023-05-24 12:08:31
tiiuae/falcon-40b-instruct,2023-05-25 10:14:36
tiiuae/falcon-7b,2023-04-24 16:36:24
tiiuae/falcon-7b-instruct,2023-04-25 06:21:01
tiiuae/falcon-mamba-7b,2024-07-17 07:06:26
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2023-12-30 06:27:30
TinyLlama/TinyLlama_v1.1,2024-03-09 09:39:41
togethercomputer/GPT-JT-6B-v1,2022-11-24 06:09:34
togethercomputer/GPT-NeoXT-Chat-Base-20B,2023-03-03 00:24:29
togethercomputer/LLaMA-2-7B-32K,2023-07-25 20:06:41
togethercomputer/Llama-2-7B-32K-Instruct,2023-08-08 20:22:27
togethercomputer/RedPajama-INCITE-7B-Base,2023-05-04 05:50:06
togethercomputer/RedPajama-INCITE-7B-Chat,2023-05-04 20:24:59
togethercomputer/RedPajama-INCITE-7B-Instruct,2023-05-05 05:28:20
togethercomputer/RedPajama-INCITE-Base-3B-v1,2023-05-04 05:51:02
togethercomputer/RedPajama-INCITE-Chat-3B-v1,2023-05-05 05:06:37
togethercomputer/RedPajama-INCITE-Instruct-3B-v1,2023-05-05 05:12:01
upstage/SOLAR-10.7B-Instruct-v1.0,2023-12-12 12:39:22
upstage/SOLAR-10.7B-v1.0,2023-12-12 14:57:41
upstage/solar-pro-preview-instruct,2024-09-09 01:08:58
WizardLMTeam/WizardLM-13B-V1.0,2023-05-13 15:17:01
WizardLMTeam/WizardLM-13B-V1.2,2023-07-25 13:51:28
WizardLMTeam/WizardLM-70B-V1.0,2023-08-09 05:26:23
meta-llama/Meta-Llama-3.1-8B-Instruct,2024-07-23 00:00:00
meta-llama/Meta-Llama-3.1-70B-Instruct,2024-07-23 00:00:00
